STATION,NAME,DATE,rain,temp
TH000048327,"CHIANG MAI, TH",2015/2/4,,23.6
TH000048327,"CHIANG MAI, TH",2015/2/5,,23.6
TH000048327,"CHIANG MAI, TH",2015/2/6,,23.9
TH000048327,"CHIANG MAI, TH",2015/2/7,,23.2
TH000048327,"CHIANG MAI, TH",2015/2/8,,24.1
TH000048327,"CHIANG MAI, TH",2015/2/9,,24.4
TH000048327,"CHIANG MAI, TH",2015/2/10,,24.1
TH000048327,"CHIANG MAI, TH",2015/2/11,,23.9
TH000048327,"CHIANG MAI, TH",2015/2/12,,24.4
TH000048327,"CHIANG MAI, TH",2015/2/13,,24.4
TH000048327,"CHIANG MAI, TH",2015/2/14,,22.4
TH000048327,"CHIANG MAI, TH",2015/2/15,,21.8
TH000048327,"CHIANG MAI, TH",2015/2/16,,22.4
TH000048327,"CHIANG MAI, TH",2015/2/17,,22
TH000048327,"CHIANG MAI, TH",2015/2/18,,22.8
TH000048327,"CHIANG MAI, TH",2015/2/19,,23.3
TH000048327,"CHIANG MAI, TH",2015/2/20,,24
TH000048327,"CHIANG MAI, TH",2015/2/21,,23.2
TH000048327,"CHIANG MAI, TH",2015/2/22,,24.3
TH000048327,"CHIANG MAI, TH",2015/2/23,,24.5
TH000048327,"CHIANG MAI, TH",2015/2/24,,24.6
TH000048327,"CHIANG MAI, TH",2015/2/25,,24.5
TH000048327,"CHIANG MAI, TH",2015/2/26,,25.1
TH000048327,"CHIANG MAI, TH",2015/2/27,,25
TH000048327,"CHIANG MAI, TH",2015/2/28,,25.3
TH000048327,"CHIANG MAI, TH",2015/3/1,,26
TH000048327,"CHIANG MAI, TH",2015/3/2,,25.9
TH000048327,"CHIANG MAI, TH",2015/3/3,,27.2
TH000048327,"CHIANG MAI, TH",2015/3/4,,29.4
TH000048327,"CHIANG MAI, TH",2015/3/5,,28.5
TH000048327,"CHIANG MAI, TH",2015/3/6,,28.1
TH000048327,"CHIANG MAI, TH",2015/3/7,,27.6
TH000048327,"CHIANG MAI, TH",2015/3/8,,27.4
TH000048327,"CHIANG MAI, TH",2015/3/9,,26.9
TH000048327,"CHIANG MAI, TH",2015/3/10,,28.4
TH000048327,"CHIANG MAI, TH",2015/3/11,,29.2
TH000048327,"CHIANG MAI, TH",2015/3/12,,28.6
TH000048327,"CHIANG MAI, TH",2015/3/13,,28.7
