date,pm10,o3,no2,rain,temp
5/4/2015,30,14,21,5,27
5/5/2015,32,26,23,2.6,28.1
5/6/2015,28,5,12,3.4,28.5
5/7/2015,20,8,10,0.2,29.3
5/8/2015,16,12,9,0,28.8
5/9/2015,16,11,5,0,29.3
5/10/2015,18,11,4,0,29.6
5/11/2015,16,10,6,0,29.9
5/12/2015,16,13,9,3,29.2
5/13/2015,16,10,10,0,29.2
5/14/2015,23,5,19,16.6,29.2
5/15/2015,19,7,8,9.8,27.2
5/16/2015,12,8,8,0,28.4
5/17/2015,19,7,13,0,29
5/18/2015,20,11,8,2.4,28.6
5/19/2015,18,9,7,0,29.4
5/20/2015,24,15,6,0,29
5/21/2015,21,11,9,0,29.4
5/22/2015,21,6,12,0,29
5/23/2015,23,17,9,5.4,27.1
5/24/2015,17,8,8,0,28.7
5/25/2015,16,13,9,0,28.8
5/26/2015,24,10,10,0,28.6
5/27/2015,19,14,10,2,28.3
5/28/2015,13,15,9,0,29
5/29/2015,14,15,8,0,30.1
5/30/2015,16,20,10,0,30
5/31/2015,21,20,14,0,29.7
6/1/2015,17,15,13,0,29.4
6/2/2015,19,20,17,1.8,29.6
6/3/2015,16,13,15,0,29.2
6/4/2015,20,13,17,2.2,29.5
6/5/2015,20,4,21,0,29.2
6/6/2015,24,7,17,12.8,27.9
6/7/2015,15,5,15,28.4,27.9
6/8/2015,22,7,20,0,28.4
6/9/2015,18,15,15,0,28.2
6/10/2015,14,12,17,0,29.2
6/11/2015,14,3,16,2.8,28.3
6/12/2015,14,11,19,17.4,27
6/13/2015,21,7,15,0,28.1
6/14/2015,15,7,16,13.4,26.8
6/15/2015,22,10,19,3.8,27.7
6/16/2015,25,12,22,0,27.7
6/17/2015,23,18,18,0.4,28.4
6/18/2015,20,13,13,0,29.5
6/19/2015,17,12,12,0,29.4
6/20/2015,18,13,12,0,29.8
6/21/2015,19,15,11,0,30
6/22/2015,23,18,13,0,30.2
6/23/2015,27,20,12,0,30.1
6/24/2015,29,21,12,0,30
6/25/2015,25,21,12,0,29.9
6/26/2015,21,14,12,0,29.7
6/27/2015,20,12,11,0,29.9
6/28/2015,20,18,14,12.8,29.4
6/29/2015,23,21,13,0,29.7
6/30/2015,27,10,20,0,29.7
7/1/2015,31,13,20,6.4,28.6
7/2/2015,32,17,15,0,29.2
7/3/2015,29,15,14,0.4,29.4
7/4/2015,27,24,16,22.2,27.4
7/5/2015,27,24,16,0,29.3
7/6/2015,30,21,16,0,29.5
7/7/2015,30,18,15,2,29.3
7/8/2015,30,13,17,20,28.5
7/9/2015,35,28,20,0,29.1
7/10/2015,38,17,20,11.4,28.7
7/11/2015,27,17,16,0.6,29.4
7/12/2015,25,18,15,0,29.3
7/13/2015,20,13,13,0,29.4
7/14/2015,19,12,14,45.8,28.1
7/15/2015,15,11,15,0,29.2
7/16/2015,20,13,14,1.6,29.3
7/17/2015,21,15,14,0,29.5
7/18/2015,21,17,11,0,29.8
7/19/2015,22,15,10,0.2,29.6
7/20/2015,20,15,12,0,29.4
7/21/2015,19,14,15,0.4,29.5
7/22/2015,20,15,15,0,29.6
7/23/2015,19,11,14,0,29.3
7/24/2015,20,14,13,0,29.3
7/25/2015,22,19,12,0,29.4
7/26/2015,19,10,11,3.6,28.1
7/27/2015,19,12,14,0,29
7/28/2015,20,9,11,0,28.7
7/29/2015,14,14,7,0,29
7/30/2015,16,12,9,0,29.2
7/31/2015,20,11,16,2.2,27.6
8/1/2015,25,12,17,1.6,26.7
8/2/2015,20,13,12,0,28.7
8/3/2015,17,7,15,26.2,26.2
8/4/2015,18,15,18,6.2,27.1
8/5/2015,20,17,17,0,28.5
8/6/2015,21,11,18,1.6,27.3
8/7/2015,22,10,18,20.2,27.2
8/8/2015,22,16,17,28.2,28.1
8/9/2015,21,20,12,14.2,27.5
8/10/2015,26,21,9,1,29.1
8/11/2015,28,13,11,0,28.8
8/12/2015,25,5,16,63.2,26.1
8/13/2015,25,16,15,0,28.1
8/14/2015,21,14,13,0,29.1
8/15/2015,22,17,10,0,29
8/16/2015,24,16,8,0,28.8
8/17/2015,24,13,10,0,28.7
8/18/2015,26,27,10,0,29
8/19/2015,30,27,13,0,29
8/20/2015,37,27,13,0,29.1
8/21/2015,39,22,17,0,28.6
8/22/2015,43,26,16,0,29
8/23/2015,43,32,8,0,29
8/24/2015,41,27,9,0,28.8
8/25/2015,47,18,15,22.2,28.4
8/26/2015,43,17,13,0,29
8/27/2015,34,23,12,0,28.7
8/28/2015,32,16,12,0,28.9
8/29/2015,38,22,8,0,29.7
8/30/2015,35,15,7,1.2,29
8/31/2015,27,22,9,0,29.2
9/1/2015,33,30,10,0,29.3
9/2/2015,44,29,11,0,29.3
9/3/2015,48,25,9,0,29.4
9/4/2015,48,19,11,0.4,29
9/5/2015,49,26,9,0,29.2
9/6/2015,56,32,10,0,29.2
9/7/2015,47,28,11,0,28.9
9/8/2015,53,29,11,0,29.2
