"","DATE","STATION","NAME","PRCP","TAVG","TMAX","TMIN"
"181",2014-01-30,"MXM00076458","COLONIA JUAN CARRAS, MX",0,21.8,27.8,15.4
"182",2014-01-31,"MXM00076458","COLONIA JUAN CARRAS, MX",0,21.9,28.1,15.4
"183",2014-02-01,"MXM00076458","COLONIA JUAN CARRAS, MX",0,21.4,26.9,14.8
"184",2014-02-02,"MXM00076458","COLONIA JUAN CARRAS, MX",0,22.2,27,14.8
"185",2014-02-03,"MXM00076458","COLONIA JUAN CARRAS, MX",0,21.4,27.5,16.1
"186",2014-02-04,"MXM00076458","COLONIA JUAN CARRAS, MX",0,21.6,NA,NA
"187",2014-02-05,"MXM00076458","COLONIA JUAN CARRAS, MX",0,20.3,27.1,14.4
"188",2014-02-06,"MXM00076458","COLONIA JUAN CARRAS, MX",0,20.4,27.2,14.4
"189",2014-02-07,"MXM00076458","COLONIA JUAN CARRAS, MX",0,21.5,26.5,14.8
"190",2014-02-08,"MXM00076458","COLONIA JUAN CARRAS, MX",0,22,27.6,14.8
"191",2014-02-09,"MXM00076458","COLONIA JUAN CARRAS, MX",0,21.8,27.7,14.8
"192",2014-02-10,"MXM00076458","COLONIA JUAN CARRAS, MX",0,22.1,27.5,14.9
"193",2014-02-11,"MXM00076458","COLONIA JUAN CARRAS, MX",0,22.6,28.3,16.1
"194",2014-02-12,"MXM00076458","COLONIA JUAN CARRAS, MX",0,22.8,28.5,18
"195",2014-02-13,"MXM00076458","COLONIA JUAN CARRAS, MX",0,22.3,27.6,16.4
"196",2014-02-14,"MXM00076458","COLONIA JUAN CARRAS, MX",0,22.3,27.7,16.4
"197",2014-02-15,"MXM00076458","COLONIA JUAN CARRAS, MX",0,22.7,28.1,16.8
"198",2014-02-16,"MXM00076458","COLONIA JUAN CARRAS, MX",0,22.8,28.3,16.8
"199",2014-02-17,"MXM00076458","COLONIA JUAN CARRAS, MX",0,22.7,28.4,17.1
"200",2014-02-18,"MXM00076458","COLONIA JUAN CARRAS, MX",0,22.9,28.4,17
"201",2014-02-19,"MXM00076458","COLONIA JUAN CARRAS, MX",0,22.7,28.7,17
"202",2014-02-20,"MXM00076458","COLONIA JUAN CARRAS, MX",0,22.5,28.8,16.8
"203",2014-02-21,"MXM00076458","COLONIA JUAN CARRAS, MX",0,22.1,28.1,16.8
"204",2014-02-22,"MXM00076458","COLONIA JUAN CARRAS, MX",0,22.8,27.6,15.6
"205",2014-02-23,"MXM00076458","COLONIA JUAN CARRAS, MX",0,22.1,28.7,15.6
"206",2014-02-24,"MXM00076458","COLONIA JUAN CARRAS, MX",0,22.7,28.2,16
"207",2014-02-25,"MXM00076458","COLONIA JUAN CARRAS, MX",0,22.9,29.9,16
"208",2014-02-26,"MXM00076458","COLONIA JUAN CARRAS, MX",0,22.8,29.3,17.8
"209",2014-02-27,"MXM00076458","COLONIA JUAN CARRAS, MX",0,22.9,29.3,16.8
"210",2014-02-28,"MXM00076458","COLONIA JUAN CARRAS, MX",0,23.2,29.3,16.8
"211",2014-03-01,"MXM00076458","COLONIA JUAN CARRAS, MX",0,23.1,28.5,17.8
"212",2014-03-02,"MXM00076458","COLONIA JUAN CARRAS, MX",0,22.7,29.1,16.3
"213",2014-03-03,"MXM00076458","COLONIA JUAN CARRAS, MX",0,22.8,28.4,16.3
"214",2014-03-04,"MXM00076458","COLONIA JUAN CARRAS, MX",0,21.7,28.2,15.3
"215",2014-03-05,"MXM00076458","COLONIA JUAN CARRAS, MX",0,21.1,26.5,15.3
"216",2014-03-06,"MXM00076458","COLONIA JUAN CARRAS, MX",0,21.4,26.7,15.2
"217",2014-03-07,"MXM00076458","COLONIA JUAN CARRAS, MX",0,22.2,27.3,15.2
"218",2014-03-08,"MXM00076458","COLONIA JUAN CARRAS, MX",0,22.9,27.4,16.9
"219",2014-03-09,"MXM00076458","COLONIA JUAN CARRAS, MX",0,23.1,28.4,18
"220",2014-03-10,"MXM00076458","COLONIA JUAN CARRAS, MX",0,23.6,28.8,18
"221",2014-03-11,"MXM00076458","COLONIA JUAN CARRAS, MX",0,22.1,28,16.6
"222",2014-03-12,"MXM00076458","COLONIA JUAN CARRAS, MX",0,22.5,26.4,16.6
"223",2014-03-13,"MXM00076458","COLONIA JUAN CARRAS, MX",0,22.7,27.3,17.4
"224",2014-03-14,"MXM00076458","COLONIA JUAN CARRAS, MX",0,22.6,27.3,17.4
"225",2014-03-15,"MXM00076458","COLONIA JUAN CARRAS, MX",0,22.6,27.6,17
"226",2014-03-16,"MXM00076458","COLONIA JUAN CARRAS, MX",0,22.2,27.5,16.2
"227",2014-03-17,"MXM00076458","COLONIA JUAN CARRAS, MX",0,23.3,30.7,16.2
"228",2014-03-18,"MXM00076458","COLONIA JUAN CARRAS, MX",0,23.1,30.7,17.2
"229",2014-03-19,"MXM00076458","COLONIA JUAN CARRAS, MX",0,22.8,28.6,16
"230",2014-03-20,"MXM00076458","COLONIA JUAN CARRAS, MX",0,23.7,29.9,16
"231",2014-03-21,"MXM00076458","COLONIA JUAN CARRAS, MX",0,23.8,31.8,16.2
"232",2014-03-22,"MXM00076458","COLONIA JUAN CARRAS, MX",0,23.6,28.2,18.8
"233",2014-03-23,"MXM00076458","COLONIA JUAN CARRAS, MX",0,23.9,28.6,18.8
"234",2014-03-24,"MXM00076458","COLONIA JUAN CARRAS, MX",0,24.4,31.2,18.5
"235",2014-03-25,"MXM00076458","COLONIA JUAN CARRAS, MX",0,23.9,30.5,18.5
"236",2014-03-26,"MXM00076458","COLONIA JUAN CARRAS, MX",0,24.5,28.6,18.7
"237",2014-03-27,"MXM00076458","COLONIA JUAN CARRAS, MX",0,23.9,29.1,20.4
"238",2014-03-28,"MXM00076458","COLONIA JUAN CARRAS, MX",0,23.2,29.4,17.9
"239",2014-03-29,"MXM00076458","COLONIA JUAN CARRAS, MX",0,23.7,29.6,17.9
"240",2014-03-30,"MXM00076458","COLONIA JUAN CARRAS, MX",0,23.2,28.3,17
"241",2014-03-31,"MXM00076458","COLONIA JUAN CARRAS, MX",0,23.3,28.5,17
"242",2014-04-01,"MXM00076458","COLONIA JUAN CARRAS, MX",0,23.5,29.4,15.8
"243",2014-04-02,"MXM00076458","COLONIA JUAN CARRAS, MX",0,23.5,29.7,15.8
"244",2014-04-03,"MXM00076458","COLONIA JUAN CARRAS, MX",0,23.6,29.3,17.1
"245",2014-04-04,"MXM00076458","COLONIA JUAN CARRAS, MX",0,23.4,30.6,17.9
"246",2014-04-05,"MXM00076458","COLONIA JUAN CARRAS, MX",0,23.4,29.1,17.9
"247",2014-04-06,"MXM00076458","COLONIA JUAN CARRAS, MX",0,23.7,29.3,18.5
"248",2014-04-07,"MXM00076458","COLONIA JUAN CARRAS, MX",0,22.8,28.5,17.5
"249",2014-04-08,"MXM00076458","COLONIA JUAN CARRAS, MX",0,24.5,30.1,17.5
"250",2014-04-09,"MXM00076458","COLONIA JUAN CARRAS, MX",0,25,30.6,19.3
"251",2014-04-10,"MXM00076458","COLONIA JUAN CARRAS, MX",0,23.8,30.9,19
"252",2014-04-11,"MXM00076458","COLONIA JUAN CARRAS, MX",0,24.3,28.4,19
"253",2014-04-12,"MXM00076458","COLONIA JUAN CARRAS, MX",0,24.1,28.8,18.8
"254",2014-04-13,"MXM00076458","COLONIA JUAN CARRAS, MX",0,24.7,29.9,18.8
"255",2014-04-14,"MXM00076458","COLONIA JUAN CARRAS, MX",0,24.9,31.5,20
"256",2014-04-15,"MXM00076458","COLONIA JUAN CARRAS, MX",0,24.2,29.6,18.2
"257",2014-04-16,"MXM00076458","COLONIA JUAN CARRAS, MX",0,24,29.7,18.2
"258",2014-04-17,"MXM00076458","COLONIA JUAN CARRAS, MX",0,24.7,29.2,18.2
"259",2014-04-18,"MXM00076458","COLONIA JUAN CARRAS, MX",0,24.7,30.7,20.3
"260",2014-04-19,"MXM00076458","COLONIA JUAN CARRAS, MX",0,24.5,29,20.3
"261",2014-04-20,"MXM00076458","COLONIA JUAN CARRAS, MX",0,24,29.8,19
"262",2014-04-21,"MXM00076458","COLONIA JUAN CARRAS, MX",0,24.2,28.8,18.3
"263",2014-04-22,"MXM00076458","COLONIA JUAN CARRAS, MX",0,24.7,29.6,18.3
"264",2014-04-23,"MXM00076458","COLONIA JUAN CARRAS, MX",0,25.3,29.8,18.8
"265",2014-04-24,"MXM00076458","COLONIA JUAN CARRAS, MX",0,24.8,29.6,19.4
"266",2014-04-25,"MXM00076458","COLONIA JUAN CARRAS, MX",0,26,32.1,19.4
"267",2014-04-26,"MXM00076458","COLONIA JUAN CARRAS, MX",0,25.6,32.2,19.4
"268",2014-04-27,"MXM00076458","COLONIA JUAN CARRAS, MX",0,26.2,31.1,19.4
"269",2014-04-28,"MXM00076458","COLONIA JUAN CARRAS, MX",0,25.7,31.3,19.5
"270",2014-04-29,"MXM00076458","COLONIA JUAN CARRAS, MX",0,25.7,30.7,19.5
"271",2014-04-30,"MXM00076458","COLONIA JUAN CARRAS, MX",0,25.3,29.2,19.8
"272",2014-05-01,"MXM00076458","COLONIA JUAN CARRAS, MX",0,25.7,29.7,21.4
"273",2014-05-02,"MXM00076458","COLONIA JUAN CARRAS, MX",0,25.2,29.6,19.8
"274",2014-05-03,"MXM00076458","COLONIA JUAN CARRAS, MX",0,25.5,29.9,19.8
"275",2014-05-04,"MXM00076458","COLONIA JUAN CARRAS, MX",0,26.1,30.5,20.3
"276",2014-05-05,"MXM00076458","COLONIA JUAN CARRAS, MX",0,26.6,30.6,21.3
"277",2014-05-06,"MXM00076458","COLONIA JUAN CARRAS, MX",0,26.7,31.2,22.7
"278",2014-05-07,"MXM00076458","COLONIA JUAN CARRAS, MX",0,27.1,31.6,23.1
"279",2014-05-08,"MXM00076458","COLONIA JUAN CARRAS, MX",0,27.2,31.7,24.1
